"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V610","2020-04-02 00:00:00","22.000","24.000","1.400","21.400","0.740","1013.700","","0.000","-99.000","-99.000","-99.000","27.900","","21.200",""
"C0Z310","2020-04-02 00:00:00","59.000","5.000","1.000","17.800","0.990","1014.300","","0.000","-99.000","-99.000","-99.000","22.600","","17.500",""
"C0S700","2020-04-02 00:00:00","507.000","0.000","0.200","15.200","1.000","962.800","","11.000","-99.000","-99.000","-99.000","24.000","","15.100",""
"C0T9G0","2020-04-02 00:00:00","605.000","42.000","0.800","13.700","0.990","953.500","","13.500","-99.000","-99.000","-99.000","19.000","","13.500",""
"C0U520","2020-04-02 00:00:00","517.000","236.000","0.300","12.600","0.990","964.100","","0.500","-99.000","-99.000","-99.000","18.100","","12.200",""
"C0E750","2020-04-02 00:00:00","62.000","56.000","2.100","16.600","0.750","1009.900","","4.500","-99.000","-99.000","-99.000","19.700","","16.400",""
"C0G660","2020-04-02 00:00:00","27.000","356.000","1.800","18.100","0.740","1015.300","","0.000","-99.000","-99.000","-99.000","25.100","","18.100",""
"C0U720","2020-04-02 00:00:00","1260.000","68.000","1.000","9.400","1.000","891.300","","1.500","-99.000","-99.000","-99.000","21.600","","9.200",""
"C0R690","2020-04-02 00:00:00","248.000","24.000","2.100","18.800","0.980","988.300","","0.000","-99.000","-99.000","-99.000","26.700","","18.700",""
"C0X150","2020-04-02 00:00:00","18.000","34.000","2.300","19.100","0.780","1016.100","","0.000","-99.000","-99.000","-99.000","26.900","","19.100",""
"C0Z050","2020-04-02 00:00:00","830.000","0.000","0.000","13.900","0.990","928.100","","0.000","-99.000","-99.000","-99.000","19.900","","13.800",""
"C0I490","2020-04-02 00:00:00","1601.000","214.000","2.700","14.800","0.990","844.600","","2.500","-99.000","-99.000","-99.000","22.200","","14.000",""
"C0I090","2020-04-02 00:00:00","910.000","264.000","0.900","17.800","1.000","915.400","","6.000","-99.000","-99.000","-99.000","23.400","","17.100",""
"C0X240","2020-04-02 00:00:00","394.000","0.000","0.200","17.700","0.870","972.200","","0.000","-99.000","-99.000","-99.000","26.700","","17.300",""
"C0S990","2020-04-02 00:00:00","409.000","23.000","3.700","17.400","0.950","972.700","","3.500","-99.000","-99.000","-99.000","26.900","","17.100",""
"C0E850","2020-04-02 00:00:00","104.000","60.000","0.600","15.800","0.820","1005.800","","10.000","-99.000","-99.000","-99.000","19.100","","15.600",""
"C0T9B0","2020-04-02 00:00:00","558.000","0.000","0.000","14.000","1.000","957.400","","12.500","-99.000","-99.000","-99.000","19.200","","13.700",""
"C0G650","2020-04-02 00:00:00","34.000","351.000","1.100","19.300","0.740","1012.900","","0.000","-99.000","-99.000","-99.000","27.600","","19.300",""
"C0K580","2020-04-02 00:00:00","26.000","3.000","1.600","17.700","0.900","1015.400","","0.000","-99.000","-99.000","-99.000","26.100","","17.700",""
"C0X050","2020-04-02 00:00:00","25.000","4.000","2.300","18.100","0.850","1012.800","","0.000","-99.000","-99.000","-99.000","27.100","","18.100",""
"CM0100","2020-04-02 00:00:00","25.000","83.000","2.200","17.300","0.670","1015.600","","14.000","-99.000","-99.000","-99.000","19.600","","16.900",""
"C0AC70","2020-04-02 00:00:00","71.000","80.000","1.400","16.800","0.770","1011.900","","2.500","-99.000","-99.000","-99.000","20.500","","16.000",""
"CM0130","2020-04-02 00:00:00","11.000","3.000","4.000","19.400","0.700","1016.200","","0.000","-99.000","-99.000","-99.000","23.800","","19.400",""
"C0W110","2020-04-02 00:00:00","16.000","27.000","7.100","15.200","0.800","1020.000","","0.000","-99.000","-99.000","-99.000","16.700","","13.600",""
"C0R670","2020-04-02 00:00:00","26.000","69.000","4.700","22.000","0.720","1014.400","","0.000","11.500","68.000","","29.400","","21.900",""
"C0X120","2020-04-02 00:00:00","28.000","6.000","2.100","19.000","0.770","1014.600","","0.000","-99.000","-99.000","-99.000","26.900","","18.800",""
"C0R100","2020-04-02 00:00:00","1006.000","272.000","0.800","17.300","0.990","905.900","","0.000","-99.000","-99.000","-99.000","25.500","","17.300",""
"C0C700","2020-04-02 00:00:00","151.000","63.000","2.600","15.600","0.780","1001.900","","6.500","8.400","55.000","","18.500","","15.300",""
"C0W130","2020-04-02 00:00:00","18.000","27.000","6.900","19.800","0.760","1013.800","","0.000","14.500","32.000","","22.200","","19.500",""
"C0F9R0","2020-04-02 00:00:00","20.000","46.000","4.200","17.200","0.940","1016.200","","0.000","-99.000","-99.000","-99.000","21.800","","17.200",""
"C0V660","2020-04-02 00:00:00","25.000","2.000","1.800","20.900","0.730","1013.700","","0.000","-99.000","-99.000","-99.000","28.700","","20.900",""
"C0G780","2020-04-02 00:00:00","27.000","7.000","2.200","17.900","0.760","1013.900","","0.000","-99.000","-99.000","-99.000","23.500","","17.900",""
"C0C590","2020-04-02 00:00:00","72.000","39.000","1.800","16.300","0.740","1010.000","","9.500","-99.000","-99.000","-99.000","18.600","","15.800",""
"C0I520","2020-04-02 00:00:00","3860.000","139.000","1.100","2.500","0.910","643.900","","-99.000","16.100","9.000","","3.800","","1.900",""
"C0M790","2020-04-02 00:00:00","15.000","27.000","1.600","17.800","0.740","1014.200","","0.000","-99.000","-99.000","-99.000","25.700","","17.800",""
"C0R130","2020-04-02 00:00:00","1040.000","0.000","0.100","17.500","0.990","899.900","","0.000","-99.000","-99.000","-99.000","25.000","","17.500",""
